Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.81     0.00   884809     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<unsigned long, std::allocator<unsigned long> >*>(std::vector<unsigned long, std::allocator<unsigned long> >*, std::vector<unsigned long, std::allocator<unsigned long> >*)
  0.00      0.81     0.00   884809     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.81     0.00   884809     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::~_Vector_base()
  0.00      0.81     0.00   884809     0.00     0.00  void std::_Destroy<std::vector<unsigned long, std::allocator<unsigned long> >*, std::vector<unsigned long, std::allocator<unsigned long> > >(std::vector<unsigned long, std::allocator<unsigned long> >*, std::vector<unsigned long, std::allocator<unsigned long> >*, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > >&)
  0.00      0.81     0.00   884797     0.00     0.00  std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::~vector()
  0.00      0.81     0.00   866068     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      0.81     0.00   843412     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned long, std::allocator<unsigned long> >*, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > > >::base() const
  0.00      0.81     0.00   816521     0.00     0.00  std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::end() const
  0.00      0.81     0.00   816521     0.00     0.00  std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::begin() const
  0.00      0.81     0.00   696832     0.00     0.00  unsigned long long __gnu_cxx::__stoa<unsigned long long, unsigned long long, char, int>(unsigned long long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      0.81     0.00   696832     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator*() const
  0.00      0.81     0.00   696832     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator-(long) const
  0.00      0.81     0.00   696832     0.00     0.00  unsigned long& std::vector<unsigned long, std::allocator<unsigned long> >::emplace_back<unsigned long>(unsigned long&&)
  0.00      0.81     0.00   696832     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::back()
  0.00      0.81     0.00   696832     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&)
  0.00      0.81     0.00   696832     0.00     0.00  std::__cxx11::stoull(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
  0.00      0.81     0.00   696832     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&)
  0.00      0.81     0.00   696832     0.00     0.00  __gnu_cxx::__stoa<unsigned long long, unsigned long long, char, int>(unsigned long long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(unsigned long long, std::integral_constant<bool, false>)
  0.00      0.81     0.00   696832     0.00     0.00  __gnu_cxx::__stoa<unsigned long long, unsigned long long, char, int>(unsigned long long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno()
  0.00      0.81     0.00   666072     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::base() const
  0.00      0.81     0.00   632503     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned long, std::allocator<unsigned long> >*, std::vector<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > > >::__normal_iterator(std::vector<unsigned long, std::allocator<unsigned long> >* const&)
  0.00      0.81     0.00   605910     0.00     0.00  __gnu_cxx::new_allocator<std::vector<unsigned long, std::allocator<unsigned long> > >::_M_max_size() const
  0.00      0.81     0.00   605836     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_get_Tp_allocator() const
  0.00      0.81     0.00   605789     0.00     0.00  __gnu_cxx::new_allocator<std::vector<unsigned long, std::allocator<unsigned long> > >::allocate(unsigned long, void const*)
  0.00      0.81     0.00   605789     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_allocate(unsigned long)
  0.00      0.81     0.00   605789     0.00     0.00  std::allocator_traits<std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::deallocate(std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > >&, std::vector<unsigned long, std::allocator<unsigned long> >*, unsigned long)
  0.00      0.81     0.00   605789     0.00     0.00  std::allocator_traits<std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::allocate(std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > >&, unsigned long)
  0.00      0.81     0.00   605741     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.81     0.00   605733     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_Vector_impl::_Vector_impl(std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.81     0.00   605729     0.00     0.00  std::_Vector_base<std::vector<unsigned long, std::allocator<unsigned long> >, std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::_M_create_storage(unsigned long)
  0.00      0.81     0.00   605724     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > >, std::vector<unsigned long, std::allocator<unsigned long> > >::_S_select_on_copy(std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.81     0.00   605724     0.00     0.00  std::allocator_traits<std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > >::select_on_container_copy_construction(std::allocator<std::vector<unsigned long, std::allocator<unsigned long> > > const&)
